Building Name,ADDRESS
HYDROGEN LIQUEFIER BUILDING,1301 S. OAK CHAMPAIGN
"1203 W OREGON, URBANA",1203 W. OREGON URBANA
ILLINOIS SUSTAINABILITY TECHNOLOGY CNTR,19 E. HAZELWOOD DR. CHAMPAIGN
"1203 1/2 W NEVADA, URBANA",1203 1/2 W. NEVADA URBANA
ATMOSPHERIC SCIENCES BUILDING,105 S. GREGORY STREET URBANA
SPEECH AND HEARING SCIENCE,901 S. SIXTH CHAMPAIGN
DIGITAL COMPUTER LABORATORY,1304 W. SPRINGFIELD URBANA
1203 W. CALIFORNIA,1203  W. CALIFORNIA URBANA
1202 W. CALIFORNIA,1202  W. CALIFORNIA URBANA
ENVIRON HEALTH & SAFETY BLDG,101 S. GREGORY AVE. URBANA
"911 S SIXTH, CHAMPAIGN",911 S. SIXTH CHAMPAIGN
"909 S SIXTH, CHAMPAIGN",909 S. SIXTH CHAMPAIGN
POST OFFICE AND SNACK BAR -IL ORANGE,301 E. GREGORY CHAMPAIGN
HOUSING FOOD STORES,1321 S. OAK CHAMPAIGN
SCHOOL OF LABOR & EMPLOYMENT RELATIONS,504 E. ARMORY CHAMPAIGN
ART AND DESIGN BUILDING,408 E. PEABODY CHAMPAIGN
KRANNERT ART MUSEUM,500 E. PEABODY CHAMPAIGN
"805 W PENNSYLVANIA, URBANA",805 W. PENNSYLVANIA URBANA
PRINTING & PHOTOGRAPHIC SERV BLDG,54 E. GREGORY CHAMPAIGN
1207 W. STOUGHTON,1207  W. STOUGHTON URBANA
"1205 W OREGON, URBANA",1205 W. OREGON URBANA
1006 W. OREGON,1006  W. OREGON URBANA
"59 E ARMORY, CHAMPAIGN",59 E. ARMORY CHAMPAIGN
ORCHARD PLACE APARTMENTS,1800  S. ORCHARD URBANA
BECKMAN INSTITUTE,405 N. MATHEWS URBANA
"55 E ARMORY, CHAMPAIGN",55 E. ARMORY CHAMPAIGN
ORCHARD DOWNS LAUNDRY - NORTH,1900 S. ORCHARD URBANA
602 E. GREEN,602 E. GREEN CHAMPAIGN
NORTH CAMPUS CHILLER PLANT,305 N. MATHEWS AVE. URBANA
HOUSING MAINTENANCE SHOP,511 N. HAZELWOOD DRIVE URBANA
ARMORY AVENUE WAREHOUSE,24 E. ARMORY CHAMPAIGN
"512 E CHALMERS, CHAMPAIGN",512 E. CHALMERS CHAMPAIGN
ORCHARD DOWNS LAUNDRY - SOUTH,2054 S. ORCHARD URBANA
MICRO AND NANOTECHNOLOGY LABORATORY,208 N. WRIGHT ST. URBANA
"1207 W OREGON, URBANA",1207 W. OREGON URBANA
VET MED RESEARCH BLDG,1608  S. MARYLAND URBANA
ORCHARD DOWNS APARTMENTS,1900  S. ORCHARD (1900-2200 S. ORCH) URBANA
TELEVISION BLDG,302  N. GOODWIN URBANA
MORRILL HALL,505 S. GOODWIN URBANA
"508 S SIXTH, CHAMPAIGN",508 S. SIXTH CHAMPAIGN
UNIVERSAL WASTE SYSTEM BUILDING,1409 S. OAK CHAMPAIGN
"205 S GOODWIN, URBANA",205 S. GOODWIN URBANA
710 S. GOODWIN,710  S. GOODWIN URBANA
"625 S. WRIGHT- suite 103, 201",625 S. WRIGHT ST. CHAMPAIGN
ORCHARD PLACE,S. ORCHARD URBANA
ORCHARD DOWNS COMMUNITY BUILDING,509 W. GEORGE HUFF COURT URBANA
"912 S FIFTH, CHAMPAIGN",912 S. FIFTH CHAMPAIGN
PRINTING SERVICES BUILDING,54  E. GREGORY DR. CHAMPAIGN
HOUSING WAREHOUSE,511 W. HAZELWOOD DRIVE URBANA
907 W. ILLINOIS,907  W. ILLINOIS URBANA
901 W. ILLINOIS,901  W. ILLINOIS URBANA
UNIVERSITY PRESS BUILDING,1325 S. OAK CHAMPAIGN
PLANT SCIENCES LABORATORY,1201 S. DORNER DRIVE URBANA
RICHARD T. UBBEN BASKETBALL COMPLEX,1750 S. FOURTH ST. CHAMPAIGN
"909 W NEVADA, URBANA",909 W. NEVADA URBANA
FORESTRY GREENHOUSE,1807  S. ORCHARD URBANA
ORCHARD SOUTH APARTMENTS,S. ORCHARD URBANA
"510 E CHALMERS, CHAMPAIGN",510 E. CHALMERS CHAMPAIGN
"57 E ARMORY, CHAMPAIGN",57 E. ARMORY CHAMPAIGN
602 S. SIXTH ST.,602  S. SIXTH ST. CHAMPAIGN
1110 W. MAIN,1110  W. MAIN URBANA
"408 S GOODWIN, URBANA",408 S. GOODWIN URBANA
DANCE STUDIO,905 W. NEVADA URBANA
WASTE TRANSFER & MAT. RECOVERY FACILITY,10 ST. MARY'S ROAD CHAMPAIGN
1210 W. CALIFORNIA,1210  W. CALIFORNIA URBANA
WARDALL HALL - ISRH - WOMEN'S BLDG,1012 W. ILLINOIS ST. URBANA
TOWNSEND HALL - ISRH - MEN'S BLDG,918 W. ILLINOIS ST. URBANA
LOUNGE BUILDING - ISRH,1010 W. ILLINOIS ST. URBANA
FOOD SERVICE BUILDING - ISRH,1010 W. ILLINOIS ST. URBANA
LIBRARY AIR CONDITIONING CENTER CHILLER PLANT,608 E. GREGORY DRIVE CHAMPAIGN
POLICE TRAINING INSTITUTE - TACTICAL,609 1/2 E. CURTIS CHAMPAIGN
"1210 W SPRINGFIELD, URBANA",1210 W. SPRINGFIELD URBANA
"51 E ARMORY, CHAMPAIGN",51 E. ARMORY CHAMPAIGN
"CREDIT UNION BUILDING, UOFI EMPLOYEE",2201 S. FIRST ST. CHAMPAIGN
ADMIN INFORMATION TECHNOLOGY BLDG,50 E. GERTY CHAMPAIGN
STATE REGIONAL OFFICE BUILDING,2125 S. FIRST CHAMPAIGN
DRIVER TRAINING FACILITY,8 E. GERTY CHAMPAIGN
"912 W ILLINOIS, URBANA",912 W. ILLINOIS URBANA
907 W. NEVADA,907  W. NEVADA ST. URBANA
CLINICAL SKILLS LEARNING CENTER,1102 W. HAZELWOOD URBANA
PHYSICS RESEARCH LAB STORAGE BLDG,301 E. HAZELWOOD CHAMPAIGN
WATER SURVEY RESEARCH CENTER #2,30 BAILEY DR. CHAMPAIGN
FSI - FIRE STATION,GERTY DR. CHAMPAIGN
SHERMAN HALL - SINGLE GRAD HOUSING,909 S. FIFTH CHAMPAIGN
VETERINARY TEACHING HOSPITAL,1008 W HAZELWOOD DR. URBANA
FSI - CLASSROOM/OFF,11 GERTY DR. CHAMPAIGN
TRELEASE HALL - FARH - WOMEN'S BLDG,901 COLLEGE COURT URBANA
OGLESBY HALL - FARH - MEN'S BLDG,1005 COLLEGE COURT URBANA
FOOD SERVICE BUILDING - FARH,1001 COLLEGE COURT URBANA
PHYSICAL PLANT STORAGE BUILDING 'A',1501 S. OAK CHAMPAIGN
POLICE TRAINING INSTITUTE STORAGE,609 1/2 E. CURTIS CHAMPAIGN
ASTRONOMY BUILDING,1002 W. GREEN URBANA
CERL-MAIN BUILDING 1,2902 NEWMARK DR. CHAMPAIGN
DRIVER TRAINING SITE STORAGE BLDG,6 E. GERTY CHAMPAIGN
PLAY FIELD SERVICE BUILDING,1006 W. ST. MARYS RD. URBANA
TRACK STADIUM,1615 S. WRIGHT ST. CHAMPAIGN
CLAY HYDROLOGY LABORATORY,1835 S. OAK ST. CHAMPAIGN
BUILDING RESEARCH COUNCIL BUILDING,1 E. ST. MARYS RD. CHAMPAIGN
BIOLOGICAL CONTROL LABORATORY,1904 S. GRIFFITH DR. CHAMPAIGN
1208 W. CALIFORNIA,1208  W. CALIFORNIA URBANA
NATURAL HISTORY SURVEY STORAGE B #4,1823 S. OAK ST. CHAMPAIGN
301 S. WRIGHT,301  S. WRIGHT ST. CHAMPAIGN
NATURAL HISTORY SURVEY STORAGE B #3,1833 S. OAK ST. CHAMPAIGN
NATURAL HISTORY SURVEY STORAGE B #2,1831 S. OAK ST. CHAMPAIGN
NATURAL HISTORY SURVEY STORAGE B #1,1821 S. OAK ST. CHAMPAIGN
BUILDING RESEARCH COUNCIL LABORATORY,1800 S. GRIFFITH CHAMPAIGN
SHOP AND EQUIPMENT BUILDING,1825 S. OAK ST. CHAMPAIGN
ILLINOIS FIELD PRESS BOX,FLORIDA AVENUE AND WRIGHT STREET URBANA
TV ANNEX,1108  W. MAIN URBANA
ENGINEERING SENIOR DESIGN LAB ANNEX,1011 W. WESTERN URBANA
NATURAL RESOURCE STUDIES ANNEX,1910 GRIFFITH DR. CHAMPAIGN
AQUATIC RESEARCH FIELD LABORATORY,51 E. HAZELWOOD DRIVE URBANA
PUBLIC SAFETY BUILDING,1110 W. SPRINGFIELD URBANA
GRAINGER ENGINEERING LIBRARY INFORMATION CENTER,1301 W. SPRINGFIELD URBANA
NATURAL HISTORY SURVEY STORAGE B #5,1817 S. OAK ST. CHAMPAIGN
AGRICULTURE SERVICES BUILDING,1917 S. WRIGHT CHAMPAIGN
SOUTH STUDIO 2 (SCULPTURE BUILDING),2122 GRIFFITH DR. CHAMPAIGN
SOUTH STUDIO 1 (ART STUDIO),2128 GRIFFITH DR. CHAMPAIGN
AGRICULTURE SERVICES WAREHOUSE,1919 S. WRIGHT CHAMPAIGN
ILLINOIS STATE ARCHAEOLOGICAL SURVEY REPOSITORY,2127 S. GRIFFITH DR. CHAMPAIGN
LIBRARY AND INFORMATION SCIENCE BLDG,501 E. DANIEL ST. CHAMPAIGN
ERLANGER HOUSE,303 W INDIANA URBANA
912 1/2 W. ILLINOIS,912 1/2 W. ILLINOIS URBANA
BECKWITH HALL,201 E. JOHN CHAMPAIGN
"MADIGAN LABORATORY, EDWARD R",1201 W. GREGORY DR. URBANA
PALEOBOTANICAL BUILDING,2115 GRIFFITH DR. CHAMPAIGN
SOUTH STUDIO 3 (GLASS SCULPTURE BUILDING,2116 GRIFFITH DR. CHAMPAIGN
TEMPLE HOYNE BUELL HALL,1400 W. PEABODY DR. CHAMPAIGN
902 W. CALIFORNIA,902  W. CALIFORNIA URBANA
VET MED FEED STORAGE BUILDING,2105 S. LINCOLN URBANA
TELECOMMUNICATIONS NODE #1,1211 W. WESTERN URBANA
BUILDING RESEARCH LABORATORY,1806 GRIFFITH DR. CHAMPAIGN
"1009 W SPRINGFIELD, URBANA",1009 W. SPRINGFIELD AVE. URBANA
501 S. WRIGHT,501  S. WRIGHT ST. CHAMPAIGN
MOTORCYCLE SAFETY OFFICE,4 GERTY DR. CHAMPAIGN
VET MED BASIC SCIENCES BUILDING,2001 S. LINCOLN URBANA
VETERINARY MEDICINE CHILLER PLANT,2004 S. LINCOLN URBANA
505 E GREEN,505 E. GREEN CHAMPAIGN
JAPAN HOUSE,2000 S. LINCOLN URBANA
TOWER ON 3RD,302 E. JOHN CHAMPAIGN
"1004 S FOURTH, C-POLICE TRAINING INS",1004 S. FOURTH ST. CHAMPAIGN
"1400 W PARK, URBANA - CLINICAL MED",1400 W. PARK URBANA
ATKINS TENNIS CENTER,1800 S. WRIGHT URBANA
"510 E DANIEL, CHAMPAIGN",510 E. DANIEL CHAMPAIGN
606 S. GREGORY,606  S. GREGORY ST. URBANA
CAMPUS RECREATION CENTER - EAST,1102 W. GREGORY DR. URBANA
"907 1/2 W NEVADA, URBANA",907 1/2 W. NEVADA URBANA
SOUTH STUDIO 4 (CERAMICS FACILITY),2110 GRIFFITH DR. CHAMPAIGN
"901 W OREGON, URBANA",901 W. OREGON URBANA
1307 W. PARK,1307  W. PARK URBANA
INTERNATIONAL STUDIES BUILDING,910 S. FIFTH ST. CHAMPAIGN
SOUTH STUDIO 5 (GRADUATE PHOTOGRAPHY),2108 GRIFFITH DR. CHAMPAIGN
SOUTH STUDIO 7 (GENERAL ARTS BUILDING),2111 GRIFFITH DR. CHAMPAIGN
SPECIAL MATERIALS STORAGE FACILITY,3 HAZELWOOD DR. CHAMPAIGN
SPURLOCK MUSEUM,600 S. GREGORY ST. URBANA
HARTLEY GARDENS,1800  S. LINCOLN URBANA
SOUTH STUDIO 6 (GRADUATE PAINTING FAC.),2109 GRIFFITH DR. CHAMPAIGN
CAMPBELL HALL,300 GOODWIN URBANA
"ACES LIBRARY, INFO. & ALUMNI CENTER",1101 S GOODWIN URBANA
ADMISSIONS AND RECORDS BUILDING,901 W. ILLINOIS URBANA
BIELFELDT ATHLETIC ADMINISTRATION BL,1700 S. FOURTH ST. CHAMPAIGN
CAMPUS RECREATION OUTDOOR CENTER,51 E. GREGORY DR. CHAMPAIGN
IRWIN ACADEMIC SERVICE CENTER,402 E. ARMORY CHAMPAIGN
MATHEWS AVE SEWAGE LIFT STATION,N. MATHEWS AVE. URBANA
SELF-SERVICE POSTAL STATION,1208 W. GREGORY DR. URBANA
ORCHARD DOWNS SEWAGE LIFT STATION,1108 GERTY DR. URBANA
FUEL OIL STORAGE TANKS,1717  S OAK STREET CHAMPAIGN
PHYSICAL PLANT STRG SALT SHED,1501  S OAK STREET CHAMPAIGN
SOILS MODEL TEST FACILITY - SCHNABEL,1412 INTERSTATE DRIVE CHAMPAIGN
ANIMAL SCIENCE CHILLER PLANT,1201 W. GREGORY DR. CHAMPAIGN
MORROW PLOTS,1400  W. GREGORY DR. URBANA
IRWIN INDOOR FOOTBALL FACILITY,301 E. PEABODY DR. CHAMPAIGN
RECEIVER & MICROWAVE STRUCTR,1108  W. MAIN STREET URBANA
ELECTRICAL AND COMPUTER ENGINEERING,306 N. WRIGHT ST. URBANA
604 S. GREGORY ST.,604  S. GREGORY ST. URBANA
"1109 W MAIN, URBANA",1109 W. MAIN URBANA
1002 W. NEVADA,1002  W. NEVADA ST. URBANA
"909 W OREGON, URBANA",909 W. OREGON URBANA
"1817 &1819 S. NEIL ST, CHAMPAIGN",1819 S. NEIL ST CHAMPAIGN
1208 W. STOUGHTON,1208  W. STOUGHTON URBANA
"501 S. SIXTH, CHAMPAIGN",501 S. SIXTH CHAMPAIGN
1208 1/2 W. MAIN,1208 1/2 W. MAIN URBANA
1212 W. STOUGHTON,1212  W. STOUGHTON URBANA
ENGINEERING ANNEX,1011 W. WESTERN URBANA
1113 W. MAIN,1113  W. MAIN URBANA
"710 W. PARK, URBANA",710 W. PARK URBANA
1108 W. SPRINGFIELD,1108  W. SPRINGFIELD URBANA
"502 E JOHN, CHAMPAIGN",502 E JOHN CHAMPAIGN
201 W. SPRINGFIELD,201  W. SPRINGFIELD CHAMPAIGN
1114 W. SPRINGFIELD,1114  W. SPRINGFIELD URBANA
112 W. MAIN,112  W. MAIN URBANA
"201 W. CURTIS, SUITE 1",513 W. CURTIS RD. CHAMPAIGN
"1114 W CLARK, URBANA",1114 W. CLARK ST. URBANA
1104 W. MAIN,1104  W. MAIN URBANA
1110 W. SPRINGFIELD,1110  W. SPRINGFIELD URBANA
123 W. MAIN,123  W. MAIN URBANA
